model,accuracy,f1_weighted,train_time,pred_time
XGBoost,0.8042494677075941,0.7863812040062652,16.637954473495483,0.11255550384521484
Random Forest,0.7709368346344926,0.749496096633852,386.8044683933258,0.36902928352355957
Neural Network,0.7790099361249113,0.7467472301192098,866.5850803852081,1.0239744186401367
GRU Neural Network,0.755943931866572,0.7389745455966911,1022.4850752353668,3.173198938369751
